지점,지점명,일시,평균기온(°C)
108,서울,2020-01,1.6
108,서울,2020-02,2.5
108,서울,2020-03,7.7
108,서울,2020-04,11.1
108,서울,2020-05,18
108,서울,2020-06,23.9
108,서울,2020-07,24.1
108,서울,2020-08,26.5
108,서울,2020-09,21.4
108,서울,2020-10,14.3
108,서울,2020-11,8
108,서울,2020-12,-.3
108,서울,2021-01,-2.4
108,서울,2021-02,2.7
108,서울,2021-03,9
108,서울,2021-04,14.2
108,서울,2021-05,17.1
108,서울,2021-06,22.8
108,서울,2021-07,28.1
108,서울,2021-08,25.9
108,서울,2021-09,22.6
108,서울,2021-10,15.6
108,서울,2021-11,8.2
108,서울,2021-12,.6
108,서울,2022-01,-2.2
108,서울,2022-02,-1.1
108,서울,2022-03,7.7
108,서울,2022-04,14.8
108,서울,2022-05,19.1
108,서울,2022-06,23.3
108,서울,2022-07,27.3
108,서울,2022-08,25.7
108,서울,2022-09,22.4
108,서울,2022-10,14.6
108,서울,2022-11,10
108,서울,2022-12,-2.8
108,서울,2023-01,-1.5
108,서울,2023-02,2.3
108,서울,2023-03,9.8
108,서울,2023-04,13.8
108,서울,2023-05,19.5
108,서울,2023-06,23.4
108,서울,2023-07,26.7
108,서울,2023-08,27.2
108,서울,2023-09,23.7
108,서울,2023-10,15.8
108,서울,2023-11,6.8
108,서울,2023-12,1.1
108,서울,2024-01,-.5
108,서울,2024-02,3.8
108,서울,2024-03,7
108,서울,2024-04,16.3
108,서울,2024-05,18.5
108,서울,2024-06,24.6
108,서울,2024-07,26.6
108,서울,2024-08,29.3
108,서울,2024-09,25.5
108,서울,2024-10,16.7
108,서울,2024-11,9.7
108,서울,2024-12,.8
108,서울,2025-01,-.4
108,서울,2025-02,-1.2
108,서울,2025-03,8
108,서울,2025-04,13.4
108,서울,2025-05,17.8
108,서울,2025-06,24
108,서울,2025-07,28.8
108,서울,2025-08,28.2
108,서울,2025-09,23.5
108,서울,2025-10,16.5
108,서울,2025-11,9
108,서울,2025-12,1.2
